Sample	G-CSF (CSF-3)	IL-10	IL-3	LIF	IL-1 beta	IL-2	M-CSF	IP-10 (CXCL10)	IL-4	IL-5	IL-6	IFN alpha	IL-22	IL-9	IL-13	IL-27	IL-23	IFN gamma	IL-12p70	GM-CSF	GRO alpha (CXCL1)	RANTES (CCL5)	TNF alpha	MIP-1 alpha (CCL3)	MCP-3 (CCL7)	MCP-1 (CCL2)	IL-17A (CTLA-8)	IL-15	MIP-2 alpha (CXCL2)	IL-1 alpha	ENA-78 (CXCL5)	Eotaxin (CCL11)	IL-28	IL-18	MIP-1 beta (CCL4)	IL-31	Total Events
9-3 2	5.912451406	24.63675223	< 0.5126953125	3.371086611	1.794331198	3.829825048	< 0.32958984375	296.8248959	1.914270007	11.23142824	13.20259654	< 7.71484375	35.64872968	47.26471231	5.62780168	9.707634222	7.457998883	< 1.0986328125	10.11657576	6.962266968	57.15951771	59.55770093	9.939263226	2.988458686	275.3092329	74.09766609	4.925779009	< 2.25830078125	13.95747772	8.104597906	660.3719616	4268.644362	13.83046425	< 29.9560546875	< 0.98876953125	4.80418792	5061
10-1 2	9.0062177	87.10098387	< 0.5126953125	5.590741724	2.165429895	9.384713383	< 0.32958984375	421.6862507	2.562209296	16.54100187	< 5.46875	< 7.71484375	89.97017415	126.1476607	9.959727119	35.51831776	5.645941892	< 1.0986328125	7.311696748	8.791100763	18.74047711	145.4397158	6.351087952	1.704009641	279.1013962	< 12.01171875	8.101543076	15.95817642	14.48372478	0.965794088	1384.858082	> 2400	48.05633304	< 29.9560546875	1.585259851	13.2842704	4592
10-2 2	7.309781876	53.2676858	0.059340371	4.12060719	2.288011017	29.64665189	< 0.32958984375	638.7775155	1.835804704	4.733014774	15.35798616	< 7.71484375	77.87664358	10.73462971	14.80457586	18.40430966	3.964123089	2.704557032	21.20875594	5.837866367	37.8587256	92.19473756	25.45834577	2.334278339	275.0198623	< 12.01171875	2.866840441	2.942210758	16.98371438	2.152550493	929.6551516	1409.309368	43.13858091	< 29.9560546875	6.291858438	7.099753271	5336
10-3 2	8.006607383	93.38493747	0.871286532	4.12060719	1.752753636	4.996285002	< 0.32958984375	592.4803002	0.712879607	7.610296871	24.08951646	< 7.71484375	80.73759224	30.00227407	15.50123044	25.42886383	7.666390921	2.242592864	23.27238731	7.201418176	35.88728612	447.3084399	22.77596272	5.957261706	302.2181033	< 12.01171875	4.69329582	1.207625248	20.53172067	15.97131298	2518.204364	> 2400	95.82313898	85.71039383	6.643696871	5.146582664	6478
11-1 2	9.177386352	40.74604792	< 0.5126953125	7.886383788	3.726528374	53.31294755	< 0.32958984375	272.0270949	4.586319439	5.949407324	23.05888896	< 7.71484375	258.4910492	143.1006772	4.465419977	40.55649048	7.562304368	< 1.0986328125	15.68985272	11.84714577	54.70780793	115.8499356	5.012912464	3.021216685	241.6641658	213.1952064	5.42240447	6.814304139	14.82328657	18.79436868	683.1494414	3040.190508	108.8923517	< 29.9560546875	4.144647113	13.68575846	7027
11-2 2	9.552821228	71.49750082	1.604128252	8.522571822	1.918629986	9.183681657	< 0.32958984375	232.3159769	4.361426304	11.94667698	35.53531038	< 7.71484375	18.90557695	160.1705598	10.15212365	17.27485351	7.770263063	7.043034517	8.005473702	9.222556336	50.04237875	65.17313504	12.5919468	2.745254679	189.8969742	126.2637894	8.252514673	11.72097022	16.44886235	63.44364871	555.2295779	1728.7298	138.6618308	531.5002163	< 0.98876953125	26.91723544	4806
13-1 2	6.817955138	59.94665192	< 0.5126953125	9.29550786	3.133500616	7.754560494	< 0.32958984375	224.9288949	5.406203799	27.39786706	25.57136968	< 7.71484375	67.41587419	52.75706143	2.118921748	5.632366862	10.2083595	1.354757243	7.759990067	12.22840195	30.69704996	68.28066155	8.115216842	1.728175782	250.7904641	190.8185926	8.979901419	10.26507112	11.8601172	5.65614329	3584.369	3367.990513	132.6172696	< 29.9560546875	< 0.98876953125	14.21660648	5099
13-2 2	49.32368809	129.7316477	1.265148829	162.9842323	16.30368464	19.32376986	1.177930584	452.7678199	9.135252105	117.8540762	80.38521428	< 7.71484375	392.1519735	52.75706143	3.767778239	16.56989027	155.974732	16.57623782	16.91978877	33.29962625	85.09951875	94.62823919	19.28202099	4.61407351	242.2379575	247.6683103	25.88909389	31.95451272	21.5282344	21.97631601	1798.057943	> 2400	474.4408729	2131.183142	1.263068429	62.27998161	5461
14-2 2	5.930337209	48.51202121	< 0.5126953125	6.02579356	3.013905785	8.804750231	0.271746067	222.949518	4.135922616	6.598177988	14.4036058	< 7.71484375	57.89981276	53.96932861	3.796999603	8.874474482	8.79808282	1.418209856	5.767505199	12.51105854	37.62562826	73.62696167	3.751100049	1.803117275	186.7117604	36.95980619	4.925779009	2.503395394	16.98371438	7.325742269	1817.927522	3618.53409	67.25281208	998.3748823	< 0.98876953125	18.05909531	5476
14-3 2	7.414725372	< 2.294921875	< 0.5126953125	12.48243186	2.652864286	22.61671881	< 0.32958984375	255.7703277	1.835804704	11.67876104	8.788023632	< 7.71484375	85.01078195	286.1328273	39.02055184	76.206497	19.70454889	< 1.0986328125	7.973899621	7.201418176	60.43584721	134.7750554	5.259618746	6.176075055	290.9084257	< 12.01171875	2.393896963	1.079610316	13.1768599	24.04946676	1965.1155	> 2400	52.83580137	288.9138034	< 0.98876953125	10.94758515	4886
15-1 2	5.101501225	44.30826676	< 0.5126953125	5.73603006	2.410091539	16.50711938	< 0.32958984375	281.1209067	3.023282512	7.335093211	15.47690612	< 7.71484375	55.31208567	21.47368252	3.753162222	1.108856342	6.294707108	0.917125923	10.34095743	10.16340881	65.37924979	72.13001918	10.9444196	1.749624621	247.0752897	367.2227011	4.69329582	4.5002744	15.59491596	< 3.3935546875	1899.877526	4245.304201	40.62010485	< 29.9560546875	< 0.98876953125	9.221820932	5223
15-2 2	4.017267677	33.40701375	0.613340311	4.046153658	1.501622009	0.823028357	< 0.32958984375	460.2493661	1.254346065	5.763298935	14.52320451	< 7.71484375	60.1087361	154.9549172	14.88506078	23.29422626	3.377602745	< 1.0986328125	9.055293019	8.350380918	24.45353573	95.80543031	4.135142467	4.44086047	374.161569	211.3171484	4.346134442	2.44761489	16.86745451	< 3.3935546875	402.5820202	2888.465542	36.32035578	112.721186	1.728066189	4.455649852	6297
