"","Symbol","logFC_FucoVsCtrl","pval_FucoVsCtrl","padj_FucoVsCtrl","up_FucoVsCtrl","down_FucoVsCtrl","sig_FucoVsCtrl"
"Flcn","Flcn",0.420643173637812,0.0194878365980605,0.0672772658786965,FALSE,FALSE,"Not sig."
"Atxn2l","Atxn2l",0.320004161142442,0.0731003001616969,0.16866865968409,FALSE,FALSE,"Not sig."
"Chsy1","Chsy1",0.119930191748304,0.393715544389523,0.535496069726342,FALSE,FALSE,"Not sig."
"Gpr19","Gpr19",0.687426513826068,0.00839202739410032,0.0367195089848553,TRUE,FALSE,"Up"
"Fhl3","Fhl3",-0.906360586358547,0.000158868090959435,0.00153711308670004,FALSE,TRUE,"Down"
"Pygm","Pygm",-0.599923458337958,0.0172991100559227,0.0617073712597424,FALSE,FALSE,"Not sig."
"Crebl2","Crebl2",-0.0920021803180901,0.57879463047094,0.697186966575142,FALSE,FALSE,"Not sig."
"Marchf3","Marchf3",-1.60038701822218,3.3919107943568e-05,0.000428220206824784,FALSE,TRUE,"Down"
"Entrep3","Entrep3",0.279704144616889,0.363481732959598,0.50805661248719,FALSE,FALSE,"Not sig."
"Oas3","Oas3",-2.82507404378798,5.51537513991476e-10,1.68134384365343e-07,FALSE,TRUE,"Down"
"1700025G04Rik","1700025G04Rik",0.12534254072563,0.655876593473775,0.758999942041904,FALSE,FALSE,"Not sig."
"Pon2","Pon2",-0.726023107883685,0.000293521697650005,0.00254906836249821,FALSE,TRUE,"Down"
"Prorsd1","Prorsd1",0.0503640168104508,0.824454052776484,0.886477072083977,FALSE,FALSE,"Not sig."
"Cd59a","Cd59a",-2.19186480155923,1.05975387118233e-09,2.13059416200308e-07,FALSE,TRUE,"Down"
"Malt1","Malt1",0.643350010966016,0.00186497512446883,0.0115231771723089,TRUE,FALSE,"Up"
"Oas2","Oas2",-0.130388646592923,0.776695664039578,0.852585189645964,FALSE,FALSE,"Not sig."
"Nlrp3","Nlrp3",1.04076118597245,0.0334767564694915,0.0988446712341727,FALSE,FALSE,"Not sig."
"Lmo2","Lmo2",-2.11174166168713,4.78272726540424e-09,5.31136676580158e-07,FALSE,TRUE,"Down"
"Exd2","Exd2",0.619419406087633,0.00435667610020704,0.0222819960228753,TRUE,FALSE,"Up"
"Resf1","Resf1",-0.0218851705385124,0.88041173200107,0.922689729821398,FALSE,FALSE,"Not sig."
"Syde1","Syde1",0.548341740043213,0.266214882443357,0.409302935528263,FALSE,FALSE,"Not sig."
"Mansc1","Mansc1",-0.667786053427494,0.112025832271033,0.22464240478894,FALSE,FALSE,"Not sig."
"Sbspon","Sbspon",0.840356224347941,0.038235367685225,0.108681662310953,FALSE,FALSE,"Not sig."
"Abtb2","Abtb2",0.345817263611725,0.167882152076797,0.297270089799876,FALSE,FALSE,"Not sig."
"Bmp8a","Bmp8a",0.152450389849516,0.806788026705052,0.873695456258344,FALSE,FALSE,"Not sig."
"Mier3","Mier3",-0.0298646092169796,0.846523324647884,0.901096038765484,FALSE,FALSE,"Not sig."
"Snx33","Snx33",0.374351797925704,0.185828088492481,0.319402367140411,FALSE,FALSE,"Not sig."
"Inppl1","Inppl1",0.270594907821813,0.233362068497857,0.374148536805878,FALSE,FALSE,"Not sig."
"Pram1","Pram1",0.124176708033549,0.62926096594299,0.738137582877041,FALSE,FALSE,"Not sig."
"Ccdc88a","Ccdc88a",-0.217334938682998,0.334814374151927,0.480730615701663,FALSE,FALSE,"Not sig."
"Tpcn1","Tpcn1",-0.93134683028509,4.2065262282145e-06,8.06698419007228e-05,FALSE,TRUE,"Down"
"Katnip","Katnip",0.367509386555815,0.0504252481765096,0.130930361962967,FALSE,FALSE,"Not sig."
"Gpbp1","Gpbp1",-1.54987459124197,1.20604595706628e-05,0.000186847786607713,FALSE,TRUE,"Down"
"Gab3","Gab3",0.254030641335319,0.306904232066277,0.453098965670554,FALSE,FALSE,"Not sig."
"Slc8b1","Slc8b1",0.212784740109813,0.433632606011815,0.572041479884343,FALSE,FALSE,"Not sig."
"Bet1","Bet1",-0.205912451408772,0.548676937280358,0.673251871118726,FALSE,FALSE,"Not sig."
"Ilvbl","Ilvbl",0.401733815635814,0.0758323558628123,0.172854891586952,FALSE,FALSE,"Not sig."
"Gng11","Gng11",-1.15201922803657,0.000739467870865851,0.00547145183460823,FALSE,TRUE,"Down"
"Mctp2","Mctp2",0.478917528702409,0.00346659174801983,0.0188469183573331,TRUE,FALSE,"Up"
"Gtf3c1","Gtf3c1",0.443059061140283,0.0182003055467971,0.0640660965797354,FALSE,FALSE,"Not sig."
"Cntrob","Cntrob",0.278872511569593,0.289760186757921,0.434328784475053,FALSE,FALSE,"Not sig."
"Alas1","Alas1",0.109985717011748,0.677946864027987,0.777016640486547,FALSE,FALSE,"Not sig."
"Pdxk","Pdxk",-0.133592453467141,0.582173778903588,0.699396199161521,FALSE,FALSE,"Not sig."
"Srxn1","Srxn1",-1.22292144917466,0.000136999953057366,0.0013590611944007,FALSE,TRUE,"Down"
"Cdv3","Cdv3",-0.332283706246799,0.0550983026062237,0.138785347130771,FALSE,FALSE,"Not sig."
"Slc10a3","Slc10a3",-0.287282825645055,0.319523421768952,0.466581205323138,FALSE,FALSE,"Not sig."
"Arap1","Arap1",0.218983887477496,0.286210931387021,0.430964840169874,FALSE,FALSE,"Not sig."
"Fanca","Fanca",0.351789398255342,0.0841332655111306,0.184966424123892,FALSE,FALSE,"Not sig."
"Loxhd1","Loxhd1",1.14603975055065,0.0232187237178177,0.0763152865204017,FALSE,FALSE,"Not sig."
"Ppp1r9a","Ppp1r9a",-0.695156890748038,0.0164412443264791,0.0595985484129594,FALSE,FALSE,"Not sig."
"Pwp2","Pwp2",0.194308971339517,0.326734344809802,0.473080569172517,FALSE,FALSE,"Not sig."
"Trpc1","Trpc1",-1.04953709733712,0.000773479735745713,0.00566631477167131,FALSE,TRUE,"Down"
