"","geneID","Geneid","is_re","mgi_symbol","entrezgene_id","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"15664","Rtn2","ENSMUSG00000030401",FALSE,"Rtn2",20167,-0.160654556419865,0.264382091287474,1,"Not Sig.",-0.0514413229203179,0.702520873002964,0.997255085969628,"Not Sig."
"15665","Rtn3","ENSMUSG00000024758",FALSE,"Rtn3",20168,0.0225606680897479,0.889722481206299,1,"Not Sig.",0.0558967129641625,0.776850365192661,0.997255085969628,"Not Sig."
"15666","Rtn4","ENSMUSG00000020458",FALSE,"Rtn4",68585,-0.1143291468062,0.606140942061006,1,"Not Sig.",0.0753310511847932,0.77059095689063,0.997255085969628,"Not Sig."
"15667","Rtn4ip1","ENSMUSG00000019864",FALSE,"Rtn4ip1",170728,0.160003395864664,0.182848562964625,1,"Not Sig.",0.0319774211488458,0.781305969842328,0.997255085969628,"Not Sig."
"15668","Rtn4r","ENSMUSG00000043811",FALSE,"Rtn4r",65079,0.115105166947967,0.586538221397748,1,"Not Sig.",-0.10782431959486,0.577389998842545,0.996562977247109,"Not Sig."
"15669","Rtn4rl1","ENSMUSG00000045287",FALSE,"Rtn4rl1",237847,-0.293477279711355,0.0407654861600061,1,"Not Sig.",0.0161188734426684,0.898746881586871,0.999068264048154,"Not Sig."
"15670","Rtn4rl2","ENSMUSG00000050896",FALSE,"Rtn4rl2",269295,-0.0765747475223671,0.674852691908401,1,"Not Sig.",0.105562021412269,0.533995417913831,0.993405749193857,"Not Sig."
"15671","Rtp1","ENSMUSG00000033383",FALSE,"Rtp1",239766,-0.220809862362579,0.161851713597924,1,"Not Sig.",0.18711782529608,0.179763578741227,0.959300024083201,"Not Sig."
"15672","Rtp2","ENSMUSG00000047531",FALSE,"Rtp2",224055,-0.163831860232518,0.335367099687238,1,"Not Sig.",0.289184995268847,0.0540895741238226,0.871102865900797,"Not Sig."
"15673","Rtp3","ENSMUSG00000066319",FALSE,"Rtp3",235636,0.0954687113887226,0.526616247914484,1,"Not Sig.",-0.23745005053596,0.219833975989961,0.970204790239139,"Not Sig."
"15674","Rtp4","ENSMUSG00000033355",FALSE,"Rtp4",67775,-0.0830736092473329,0.630329773823651,1,"Not Sig.",0.0131317276277525,0.94319175478014,0.999068264048154,"Not Sig."
"15675","Rtraf","ENSMUSG00000021807",FALSE,"Rtraf",68045,0.179238201003856,0.516582393521603,1,"Not Sig.",-0.0544194467776162,0.877089056699565,0.999068264048154,"Not Sig."
