"","repID","Geneid","is_re","class","superf","fam","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"93","CYRA11_Mm:Y-chromosome:Satellite","CYRA11_Mm:Y-chromosome:Satellite",TRUE,"Satellite","Satellite/Y-chromosome","CYRA11_Mm",-0.152584502929607,0.106871913566494,0.499093685278713,"Not Sig.",-0.0172926775152318,0.854781384763868,0.99994677260524,"Not Sig."
"94","DNA1_Mam:TcMar-Tc1:DNA","DNA1_Mam:TcMar-Tc1:DNA",TRUE,"DNA","DNA/TcMar-Tc1","DNA1_Mam",-0.12602600903596,0.66769973554757,0.915106682616041,"Not Sig.",0.0530248130754121,0.855767219963451,0.99994677260524,"Not Sig."
"95","ERV3-16A3_I:ERVL:LTR","ERV3-16A3_I:ERVL:LTR",TRUE,"LTR","LTR/ERVL","ERV3-16A3_I",0.151713125691595,0.135277387961354,0.548990266236029,"Not Sig.",-0.126225573660027,0.215312064846179,0.99994677260524,"Not Sig."
"96","ERV3-16A3_LTR:ERVL:LTR","ERV3-16A3_LTR:ERVL:LTR",TRUE,"LTR","LTR/ERVL","ERV3-16A3_LTR",0.100292508319883,0.491287537277273,0.845782039022075,"Not Sig.",-0.144367279047971,0.32412594264026,0.99994677260524,"Not Sig."
"97","ERVB2_1-I_MM:ERVK:LTR","ERVB2_1-I_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB2_1-I_MM",0.152525867049465,0.203162378379912,0.634476847694733,"Not Sig.",0.00125343806281348,0.991681637187417,0.99994677260524,"Not Sig."
"98","ERVB2_1A-I_MM:ERVK:LTR","ERVB2_1A-I_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB2_1A-I_MM",-0.0157817486060357,0.913272347981995,0.986689135705794,"Not Sig.",0.215306158975891,0.134665816184171,0.99994677260524,"Not Sig."
"99","ERVB3_1-I_MM:ERVK:LTR","ERVB3_1-I_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB3_1-I_MM",0.138927591566906,0.302109840437247,0.731429557713119,"Not Sig.",-0.140068480441876,0.311478531694179,0.99994677260524,"Not Sig."
"100","ERVB3_1-LTR_MM:ERVK:LTR","ERVB3_1-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB3_1-LTR_MM",-0.0557580295617496,0.793367409073393,0.956638473084427,"Not Sig.",-0.25434461015596,0.235173577253408,0.99994677260524,"Not Sig."
"101","ERVB4_1-I_MM:ERVK:LTR","ERVB4_1-I_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB4_1-I_MM",0.027902479763604,0.752935785061188,0.946082211858633,"Not Sig.",0.0523624432397655,0.552928838789923,0.99994677260524,"Not Sig."
"102","ERVB4_1-LTR_MM:ERVK:LTR","ERVB4_1-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB4_1-LTR_MM",-0.761304615344659,0.0451981645287617,0.351088112235366,"Not Sig.",0.355472895767227,0.330591866987374,0.99994677260524,"Not Sig."
